Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=5.5 galactic dust with C/H = b_C = 30.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
9.716E-02 0.3173  0.7570 1.031E-21 3.913E+04
9.772E-02 0.3187  0.7570 1.026E-21 3.885E+04
9.829E-02 0.3199  0.7572 1.020E-21 3.858E+04
9.886E-02 0.3211  0.7574 1.015E-21 3.832E+04
9.943E-02 0.3223  0.7576 1.010E-21 3.807E+04
1.000E-01 0.3239  0.7578 1.004E-21 3.775E+04
1.006E-01 0.3255  0.7578 9.982E-22 3.744E+04
1.012E-01 0.3271  0.7578 9.925E-22 3.713E+04
1.017E-01 0.3288  0.7578 9.866E-22 3.683E+04
1.023E-01 0.3304  0.7578 9.808E-22 3.652E+04
1.029E-01 0.3321  0.7580 9.748E-22 3.621E+04
1.035E-01 0.3338  0.7582 9.687E-22 3.589E+04
1.041E-01 0.3354  0.7586 9.626E-22 3.557E+04
1.047E-01 0.3371  0.7590 9.563E-22 3.525E+04
1.053E-01 0.3388  0.7595 9.499E-22 3.493E+04
1.059E-01 0.3404  0.7602 9.435E-22 3.460E+04
1.065E-01 0.3420  0.7609 9.370E-22 3.428E+04
1.072E-01 0.3435  0.7619 9.305E-22 3.397E+04
1.078E-01 0.3450  0.7628 9.241E-22 3.366E+04
1.084E-01 0.3464  0.7641 9.175E-22 3.335E+04
1.090E-01 0.3478  0.7652 9.112E-22 3.304E+04
1.096E-01 0.3493  0.7662 9.051E-22 3.275E+04
1.103E-01 0.3507  0.7672 8.991E-22 3.246E+04
1.109E-01 0.3522  0.7681 8.933E-22 3.218E+04
1.116E-01 0.3536  0.7693 8.876E-22 3.191E+04
1.122E-01 0.3549  0.7705 8.821E-22 3.164E+04
1.128E-01 0.3563  0.7716 8.766E-22 3.138E+04
1.135E-01 0.3577  0.7728 8.713E-22 3.112E+04
1.142E-01 0.3591  0.7739 8.659E-22 3.086E+04
1.148E-01 0.3605  0.7751 8.606E-22 3.061E+04
1.155E-01 0.3620  0.7758 8.555E-22 3.035E+04
1.161E-01 0.3636  0.7765 8.505E-22 3.010E+04
1.168E-01 0.3652  0.7770 8.455E-22 2.984E+04
1.175E-01 0.3668  0.7776 8.406E-22 2.960E+04
1.182E-01 0.3684  0.7780 8.358E-22 2.935E+04
1.189E-01 0.3701  0.7785 8.311E-22 2.911E+04
1.195E-01 0.3717  0.7789 8.264E-22 2.887E+04
1.202E-01 0.3734  0.7793 8.218E-22 2.863E+04
1.209E-01 0.3751  0.7796 8.173E-22 2.840E+04
1.216E-01 0.3768  0.7799 8.128E-22 2.817E+04
1.223E-01 0.3784  0.7802 8.084E-22 2.794E+04
1.230E-01 0.3801  0.7805 8.041E-22 2.772E+04
1.237E-01 0.3817  0.7808 7.998E-22 2.750E+04
1.245E-01 0.3834  0.7810 7.956E-22 2.728E+04
1.252E-01 0.3850  0.7812 7.915E-22 2.707E+04
1.259E-01 0.3866  0.7814 7.875E-22 2.686E+04
1.266E-01 0.3881  0.7816 7.835E-22 2.666E+04
1.274E-01 0.3897  0.7818 7.797E-22 2.646E+04
1.281E-01 0.3912  0.7820 7.758E-22 2.626E+04
1.288E-01 0.3927  0.7821 7.721E-22 2.608E+04
1.296E-01 0.3941  0.7822 7.684E-22 2.589E+04
1.303E-01 0.3967  0.7823 7.626E-22 2.558E+04
1.311E-01 0.3978  0.7824 7.595E-22 2.543E+04
1.318E-01 0.3989  0.7825 7.566E-22 2.529E+04
1.326E-01 0.3999  0.7825 7.537E-22 2.515E+04
1.334E-01 0.4009  0.7825 7.509E-22 2.502E+04
1.341E-01 0.4018  0.7824 7.482E-22 2.489E+04
1.349E-01 0.4026  0.7823 7.457E-22 2.477E+04
1.357E-01 0.4035  0.7822 7.432E-22 2.465E+04
1.365E-01 0.4042  0.7820 7.408E-22 2.454E+04
1.372E-01 0.4050  0.7818 7.385E-22 2.444E+04
1.380E-01 0.4057  0.7814 7.364E-22 2.433E+04
1.388E-01 0.4064  0.7811 7.343E-22 2.424E+04
1.396E-01 0.4071  0.7806 7.323E-22 2.414E+04
1.404E-01 0.4077  0.7801 7.304E-22 2.406E+04
1.413E-01 0.4084  0.7795 7.286E-22 2.397E+04
1.421E-01 0.4090  0.7787 7.270E-22 2.389E+04
1.429E-01 0.4096  0.7779 7.254E-22 2.381E+04
1.437E-01 0.4102  0.7771 7.239E-22 2.374E+04
1.445E-01 0.4108  0.7763 7.225E-22 2.367E+04
1.454E-01 0.4114  0.7754 7.212E-22 2.360E+04
1.462E-01 0.4119  0.7747 7.199E-22 2.354E+04
1.471E-01 0.4124  0.7740 7.188E-22 2.349E+04
1.479E-01 0.4128  0.7733 7.177E-22 2.344E+04
1.488E-01 0.4132  0.7727 7.168E-22 2.339E+04
1.496E-01 0.4136  0.7720 7.159E-22 2.334E+04
1.505E-01 0.4141  0.7714 7.152E-22 2.330E+04
1.514E-01 0.4145  0.7706 7.146E-22 2.326E+04
1.522E-01 0.4150  0.7699 7.140E-22 2.323E+04
1.531E-01 0.4155  0.7691 7.136E-22 2.319E+04
1.540E-01 0.4161  0.7683 7.133E-22 2.316E+04
1.549E-01 0.4167  0.7674 7.131E-22 2.313E+04
1.558E-01 0.4173  0.7664 7.129E-22 2.310E+04
1.567E-01 0.4179  0.7655 7.129E-22 2.307E+04
1.576E-01 0.4186  0.7644 7.130E-22 2.305E+04
1.585E-01 0.4194  0.7632 7.132E-22 2.302E+04
1.594E-01 0.4203  0.7619 7.135E-22 2.300E+04
1.603E-01 0.4212  0.7605 7.139E-22 2.298E+04
1.613E-01 0.4223  0.7590 7.145E-22 2.295E+04
1.622E-01 0.4234  0.7573 7.152E-22 2.293E+04
1.631E-01 0.4247  0.7554 7.160E-22 2.291E+04
1.641E-01 0.4260  0.7534 7.170E-22 2.289E+04
1.650E-01 0.4274  0.7513 7.181E-22 2.286E+04
1.660E-01 0.4289  0.7491 7.194E-22 2.284E+04
1.669E-01 0.4305  0.7468 7.208E-22 2.283E+04
1.679E-01 0.4322  0.7443 7.224E-22 2.281E+04
1.688E-01 0.4340  0.7417 7.241E-22 2.279E+04
1.698E-01 0.4358  0.7389 7.260E-22 2.277E+04
1.708E-01 0.4377  0.7361 7.279E-22 2.276E+04
1.718E-01 0.4397  0.7332 7.300E-22 2.274E+04
1.728E-01 0.4418  0.7302 7.322E-22 2.273E+04
1.738E-01 0.4439  0.7270 7.346E-22 2.271E+04
1.748E-01 0.4462  0.7238 7.371E-22 2.270E+04
1.758E-01 0.4485  0.7205 7.398E-22 2.269E+04
1.768E-01 0.4508  0.7170 7.427E-22 2.268E+04
1.778E-01 0.4531  0.7135 7.457E-22 2.268E+04
1.789E-01 0.4554  0.7099 7.489E-22 2.268E+04
1.799E-01 0.4577  0.7063 7.521E-22 2.268E+04
1.809E-01 0.4600  0.7027 7.555E-22 2.269E+04
1.820E-01 0.4623  0.6991 7.592E-22 2.270E+04
1.830E-01 0.4646  0.6956 7.631E-22 2.272E+04
1.841E-01 0.4668  0.6920 7.674E-22 2.275E+04
1.851E-01 0.4688  0.6885 7.721E-22 2.281E+04
1.862E-01 0.4705  0.6849 7.771E-22 2.288E+04
1.873E-01 0.4720  0.6812 7.822E-22 2.296E+04
1.884E-01 0.4734  0.6775 7.874E-22 2.306E+04
1.895E-01 0.4747  0.6740 7.927E-22 2.315E+04
1.905E-01 0.4760  0.6705 7.982E-22 2.326E+04
1.916E-01 0.4774  0.6672 8.042E-22 2.337E+04
1.928E-01 0.4785  0.6640 8.108E-22 2.351E+04
1.939E-01 0.4794  0.6609 8.179E-22 2.368E+04
1.950E-01 0.4799  0.6577 8.258E-22 2.388E+04
1.961E-01 0.4800  0.6541 8.341E-22 2.412E+04
1.972E-01 0.4798  0.6504 8.426E-22 2.437E+04
1.984E-01 0.4795  0.6468 8.508E-22 2.463E+04
1.995E-01 0.4791  0.6435 8.589E-22 2.488E+04
2.007E-01 0.4786  0.6407 8.672E-22 2.514E+04
2.018E-01 0.4781  0.6383 8.760E-22 2.542E+04
2.030E-01 0.4774  0.6362 8.850E-22 2.572E+04
2.042E-01 0.4767  0.6342 8.945E-22 2.603E+04
2.054E-01 0.4757  0.6320 9.046E-22 2.637E+04
2.065E-01 0.4746  0.6294 9.150E-22 2.673E+04
2.077E-01 0.4734  0.6264 9.248E-22 2.708E+04
2.089E-01 0.4723  0.6235 9.333E-22 2.739E+04
2.101E-01 0.4715  0.6211 9.404E-22 2.764E+04
2.113E-01 0.4712  0.6191 9.467E-22 2.783E+04
2.126E-01 0.4714  0.6176 9.521E-22 2.798E+04
2.138E-01 0.4722  0.6165 9.565E-22 2.807E+04
2.150E-01 0.4734  0.6158 9.598E-22 2.810E+04
2.163E-01 0.4752  0.6150 9.625E-22 2.809E+04
2.175E-01 0.4774  0.6138 9.644E-22 2.803E+04
2.188E-01 0.4800  0.6122 9.648E-22 2.790E+04
2.200E-01 0.4829  0.6103 9.630E-22 2.769E+04
2.213E-01 0.4861  0.6088 9.589E-22 2.740E+04
2.226E-01 0.4895  0.6081 9.527E-22 2.705E+04
2.239E-01 0.4933  0.6078 9.454E-22 2.664E+04
2.252E-01 0.4975  0.6079 9.373E-22 2.619E+04
2.265E-01 0.5022  0.6082 9.287E-22 2.571E+04
2.278E-01 0.5073  0.6087 9.198E-22 2.520E+04
2.291E-01 0.5127  0.6090 9.112E-22 2.469E+04
2.304E-01 0.5183  0.6089 9.030E-22 2.419E+04
2.317E-01 0.5241  0.6082 8.946E-22 2.368E+04
2.331E-01 0.5298  0.6072 8.859E-22 2.316E+04
2.344E-01 0.5354  0.6062 8.766E-22 2.264E+04
2.358E-01 0.5409  0.6054 8.668E-22 2.213E+04
2.371E-01 0.5463  0.6048 8.568E-22 2.161E+04
2.385E-01 0.5517  0.6045 8.470E-22 2.111E+04
2.399E-01 0.5570  0.6045 8.375E-22 2.063E+04
2.413E-01 0.5623  0.6048 8.285E-22 2.017E+04
2.427E-01 0.5675  0.6051 8.203E-22 1.973E+04
2.441E-01 0.5724  0.6053 8.132E-22 1.934E+04
2.455E-01 0.5771  0.6050 8.068E-22 1.897E+04
2.469E-01 0.5816  0.6045 8.007E-22 1.863E+04
2.483E-01 0.5859  0.6037 7.947E-22 1.830E+04
2.497E-01 0.5898  0.6029 7.884E-22 1.799E+04
2.512E-01 0.5934  0.6022 7.820E-22 1.768E+04
2.526E-01 0.5968  0.6018 7.755E-22 1.739E+04
2.541E-01 0.6001  0.6016 7.692E-22 1.710E+04
2.556E-01 0.6034  0.6016 7.632E-22 1.683E+04
2.570E-01 0.6065  0.6018 7.576E-22 1.657E+04
2.585E-01 0.6096  0.6021 7.527E-22 1.634E+04
2.600E-01 0.6125  0.6022 7.486E-22 1.613E+04
2.615E-01 0.6153  0.6021 7.452E-22 1.594E+04
2.630E-01 0.6179  0.6017 7.419E-22 1.576E+04
2.645E-01 0.6204  0.6010 7.387E-22 1.559E+04
2.661E-01 0.6227  0.6003 7.352E-22 1.542E+04
2.676E-01 0.6248  0.5997 7.315E-22 1.526E+04
2.692E-01 0.6269  0.5993 7.275E-22 1.510E+04
2.707E-01 0.6288  0.5990 7.235E-22 1.493E+04
2.723E-01 0.6308  0.5990 7.196E-22 1.477E+04
2.738E-01 0.6328  0.5993 7.159E-22 1.462E+04
2.754E-01 0.6347  0.5997 7.128E-22 1.448E+04
2.770E-01 0.6365  0.6000 7.104E-22 1.436E+04
2.786E-01 0.6381  0.6002 7.085E-22 1.426E+04
2.802E-01 0.6397  0.6001 7.069E-22 1.416E+04
2.818E-01 0.6413  0.5997 7.053E-22 1.407E+04
2.835E-01 0.6428  0.5993 7.035E-22 1.397E+04
2.851E-01 0.6442  0.5989 7.014E-22 1.388E+04
2.867E-01 0.6456  0.5986 6.990E-22 1.378E+04
2.884E-01 0.6470  0.5985 6.964E-22 1.367E+04
2.901E-01 0.6484  0.5986 6.938E-22 1.357E+04
2.917E-01 0.6498  0.5990 6.912E-22 1.346E+04
2.934E-01 0.6513  0.5995 6.890E-22 1.336E+04
2.951E-01 0.6528  0.6001 6.872E-22 1.327E+04
2.968E-01 0.6541  0.6005 6.860E-22 1.319E+04
2.985E-01 0.6554  0.6008 6.852E-22 1.313E+04
3.003E-01 0.6566  0.6008 6.845E-22 1.307E+04
3.020E-01 0.6579  0.6007 6.837E-22 1.301E+04
3.037E-01 0.6593  0.6005 6.824E-22 1.293E+04
3.055E-01 0.6610  0.6003 6.805E-22 1.283E+04
3.073E-01 0.6627  0.6003 6.783E-22 1.272E+04
3.090E-01 0.6645  0.6005 6.759E-22 1.261E+04
3.108E-01 0.6664  0.6009 6.735E-22 1.249E+04
3.126E-01 0.6683  0.6016 6.711E-22 1.238E+04
3.144E-01 0.6702  0.6023 6.691E-22 1.227E+04
3.162E-01 0.6721  0.6031 6.675E-22 1.217E+04
3.181E-01 0.6739  0.6038 6.663E-22 1.208E+04
3.199E-01 0.6757  0.6044 6.654E-22 1.200E+04
3.217E-01 0.6774  0.6047 6.645E-22 1.192E+04
3.236E-01 0.6792  0.6048 6.635E-22 1.184E+04
3.255E-01 0.6809  0.6049 6.621E-22 1.175E+04
3.273E-01 0.6826  0.6050 6.604E-22 1.165E+04
3.292E-01 0.6845  0.6053 6.585E-22 1.155E+04
3.311E-01 0.6863  0.6058 6.564E-22 1.145E+04
3.330E-01 0.6882  0.6065 6.543E-22 1.134E+04
3.350E-01 0.6902  0.6073 6.524E-22 1.124E+04
3.369E-01 0.6921  0.6082 6.507E-22 1.114E+04
3.388E-01 0.6940  0.6091 6.494E-22 1.105E+04
3.408E-01 0.6958  0.6099 6.484E-22 1.097E+04
3.428E-01 0.6976  0.6105 6.476E-22 1.089E+04
3.447E-01 0.6993  0.6109 6.468E-22 1.082E+04
3.467E-01 0.7010  0.6112 6.459E-22 1.074E+04
3.487E-01 0.7027  0.6114 6.446E-22 1.066E+04
3.508E-01 0.7045  0.6117 6.430E-22 1.057E+04
3.528E-01 0.7063  0.6121 6.412E-22 1.047E+04
3.548E-01 0.7082  0.6126 6.393E-22 1.037E+04
3.569E-01 0.7100  0.6133 6.374E-22 1.028E+04
3.589E-01 0.7119  0.6141 6.357E-22 1.018E+04
3.610E-01 0.7137  0.6150 6.341E-22 1.009E+04
3.631E-01 0.7155  0.6158 6.328E-22 1.001E+04
3.652E-01 0.7173  0.6165 6.318E-22 9.932E+03
3.673E-01 0.7190  0.6172 6.308E-22 9.858E+03
3.694E-01 0.7206  0.6176 6.299E-22 9.786E+03
3.715E-01 0.7222  0.6180 6.288E-22 9.713E+03
3.737E-01 0.7239  0.6183 6.275E-22 9.635E+03
3.758E-01 0.7255  0.6186 6.259E-22 9.553E+03
3.780E-01 0.7272  0.6190 6.242E-22 9.468E+03
3.802E-01 0.7289  0.6195 6.223E-22 9.381E+03
3.824E-01 0.7306  0.6201 6.205E-22 9.294E+03
3.846E-01 0.7323  0.6208 6.187E-22 9.210E+03
3.868E-01 0.7340  0.6215 6.171E-22 9.129E+03
3.890E-01 0.7356  0.6221 6.156E-22 9.051E+03
3.913E-01 0.7371  0.6227 6.142E-22 8.978E+03
3.936E-01 0.7387  0.6233 6.130E-22 8.907E+03
3.958E-01 0.7402  0.6237 6.117E-22 8.839E+03
3.981E-01 0.7416  0.6241 6.104E-22 8.770E+03
4.004E-01 0.7431  0.6244 6.090E-22 8.699E+03
4.027E-01 0.7446  0.6246 6.073E-22 8.626E+03
4.050E-01 0.7461  0.6249 6.055E-22 8.550E+03
4.074E-01 0.7475  0.6253 6.036E-22 8.474E+03
4.097E-01 0.7490  0.6256 6.017E-22 8.397E+03
4.121E-01 0.7505  0.6261 5.997E-22 8.321E+03
4.145E-01 0.7519  0.6265 5.979E-22 8.247E+03
4.169E-01 0.7534  0.6270 5.961E-22 8.175E+03
4.193E-01 0.7547  0.6274 5.944E-22 8.106E+03
4.217E-01 0.7561  0.6278 5.927E-22 8.039E+03
4.241E-01 0.7574  0.6281 5.911E-22 7.973E+03
4.266E-01 0.7587  0.6284 5.894E-22 7.909E+03
4.290E-01 0.7600  0.6286 5.877E-22 7.844E+03
4.315E-01 0.7612  0.6288 5.859E-22 7.779E+03
4.340E-01 0.7625  0.6289 5.839E-22 7.712E+03
4.365E-01 0.7637  0.6291 5.819E-22 7.646E+03
4.390E-01 0.7649  0.6292 5.798E-22 7.579E+03
4.416E-01 0.7662  0.6294 5.777E-22 7.512E+03
4.441E-01 0.7674  0.6296 5.755E-22 7.445E+03
4.467E-01 0.7685  0.6298 5.734E-22 7.380E+03
4.493E-01 0.7697  0.6300 5.713E-22 7.317E+03
4.519E-01 0.7708  0.6302 5.692E-22 7.254E+03
4.545E-01 0.7719  0.6304 5.672E-22 7.193E+03
4.571E-01 0.7730  0.6305 5.651E-22 7.134E+03
4.597E-01 0.7740  0.6306 5.631E-22 7.075E+03
4.624E-01 0.7751  0.6306 5.609E-22 7.016E+03
4.651E-01 0.7761  0.6306 5.587E-22 6.957E+03
4.677E-01 0.7771  0.6306 5.565E-22 6.898E+03
4.704E-01 0.7781  0.6305 5.541E-22 6.838E+03
4.732E-01 0.7791  0.6305 5.518E-22 6.779E+03
4.759E-01 0.7800  0.6304 5.493E-22 6.719E+03
4.786E-01 0.7810  0.6303 5.469E-22 6.661E+03
4.814E-01 0.7819  0.6303 5.445E-22 6.602E+03
4.842E-01 0.7828  0.6302 5.420E-22 6.545E+03
4.870E-01 0.7837  0.6302 5.396E-22 6.489E+03
4.898E-01 0.7846  0.6301 5.372E-22 6.435E+03
4.926E-01 0.7854  0.6300 5.348E-22 6.381E+03
4.955E-01 0.7863  0.6298 5.324E-22 6.328E+03
4.983E-01 0.7870  0.6296 5.299E-22 6.275E+03
5.012E-01 0.7878  0.6294 5.274E-22 6.223E+03
5.041E-01 0.7886  0.6291 5.249E-22 6.171E+03
5.070E-01 0.7893  0.6288 5.223E-22 6.120E+03
5.099E-01 0.7900  0.6285 5.197E-22 6.068E+03
5.129E-01 0.7907  0.6282 5.170E-22 6.017E+03
5.158E-01 0.7914  0.6279 5.144E-22 5.966E+03
5.188E-01 0.7921  0.6276 5.117E-22 5.917E+03
5.218E-01 0.7927  0.6273 5.090E-22 5.867E+03
5.248E-01 0.7933  0.6270 5.064E-22 5.819E+03
5.278E-01 0.7939  0.6266 5.037E-22 5.772E+03
5.309E-01 0.7945  0.6262 5.010E-22 5.725E+03
5.339E-01 0.7951  0.6258 4.983E-22 5.679E+03
5.370E-01 0.7956  0.6254 4.956E-22 5.633E+03
5.401E-01 0.7961  0.6249 4.929E-22 5.587E+03
5.433E-01 0.7966  0.6244 4.901E-22 5.542E+03
5.464E-01 0.7971  0.6239 4.873E-22 5.498E+03
5.495E-01 0.7976  0.6234 4.845E-22 5.453E+03
5.527E-01 0.7981  0.6229 4.817E-22 5.409E+03
5.559E-01 0.7985  0.6223 4.789E-22 5.366E+03
5.591E-01 0.7989  0.6218 4.760E-22 5.323E+03
5.623E-01 0.7993  0.6212 4.732E-22 5.280E+03
5.656E-01 0.7997  0.6206 4.704E-22 5.238E+03
5.689E-01 0.8001  0.6200 4.675E-22 5.197E+03
5.721E-01 0.8004  0.6194 4.647E-22 5.156E+03
5.754E-01 0.8008  0.6188 4.618E-22 5.116E+03
5.788E-01 0.8011  0.6181 4.589E-22 5.076E+03
5.821E-01 0.8014  0.6174 4.560E-22 5.036E+03
5.855E-01 0.8017  0.6167 4.531E-22 4.997E+03
5.888E-01 0.8019  0.6160 4.502E-22 4.959E+03
5.922E-01 0.8022  0.6152 4.472E-22 4.920E+03
5.957E-01 0.8024  0.6145 4.443E-22 4.882E+03
5.991E-01 0.8026  0.6137 4.414E-22 4.845E+03
6.026E-01 0.8028  0.6129 4.384E-22 4.808E+03
6.060E-01 0.8030  0.6122 4.355E-22 4.772E+03
6.095E-01 0.8031  0.6113 4.326E-22 4.736E+03
6.131E-01 0.8033  0.6105 4.296E-22 4.700E+03
6.166E-01 0.8034  0.6097 4.267E-22 4.665E+03
6.202E-01 0.8035  0.6088 4.237E-22 4.631E+03
6.237E-01 0.8036  0.6079 4.208E-22 4.596E+03
6.273E-01 0.8036  0.6070 4.178E-22 4.562E+03
6.310E-01 0.8037  0.6061 4.149E-22 4.529E+03
6.346E-01 0.8037  0.6052 4.119E-22 4.495E+03
6.383E-01 0.8038  0.6043 4.089E-22 4.462E+03
6.419E-01 0.8038  0.6033 4.059E-22 4.429E+03
6.457E-01 0.8038  0.6023 4.030E-22 4.397E+03
6.494E-01 0.8038  0.6013 4.000E-22 4.365E+03
6.531E-01 0.8037  0.6003 3.970E-22 4.333E+03
6.569E-01 0.8037  0.5993 3.941E-22 4.302E+03
6.607E-01 0.8036  0.5983 3.911E-22 4.271E+03
6.645E-01 0.8036  0.5972 3.881E-22 4.240E+03
6.683E-01 0.8035  0.5962 3.852E-22 4.210E+03
6.722E-01 0.8034  0.5951 3.822E-22 4.180E+03
6.761E-01 0.8032  0.5939 3.793E-22 4.150E+03
6.800E-01 0.8031  0.5928 3.763E-22 4.121E+03
6.839E-01 0.8029  0.5917 3.734E-22 4.092E+03
6.879E-01 0.8027  0.5905 3.705E-22 4.064E+03
6.918E-01 0.8025  0.5893 3.675E-22 4.035E+03
6.958E-01 0.8023  0.5881 3.646E-22 4.008E+03
6.998E-01 0.8021  0.5869 3.617E-22 3.980E+03
7.039E-01 0.8019  0.5857 3.588E-22 3.953E+03
7.079E-01 0.8016  0.5844 3.559E-22 3.926E+03
7.120E-01 0.8013  0.5832 3.529E-22 3.899E+03
7.161E-01 0.8010  0.5819 3.500E-22 3.873E+03
7.203E-01 0.8007  0.5806 3.471E-22 3.846E+03
7.244E-01 0.8004  0.5792 3.442E-22 3.820E+03
7.286E-01 0.8001  0.5779 3.413E-22 3.794E+03
7.328E-01 0.7998  0.5765 3.385E-22 3.769E+03
7.371E-01 0.7994  0.5751 3.356E-22 3.743E+03
7.413E-01 0.7990  0.5737 3.327E-22 3.718E+03
7.456E-01 0.7986  0.5723 3.299E-22 3.693E+03
7.499E-01 0.7982  0.5709 3.270E-22 3.669E+03
7.542E-01 0.7978  0.5695 3.242E-22 3.644E+03
7.586E-01 0.7974  0.5680 3.214E-22 3.621E+03
7.630E-01 0.7969  0.5666 3.185E-22 3.597E+03
7.674E-01 0.7965  0.5651 3.157E-22 3.573E+03
7.718E-01 0.7960  0.5636 3.130E-22 3.550E+03
7.762E-01 0.7955  0.5621 3.102E-22 3.527E+03
7.807E-01 0.7950  0.5605 3.074E-22 3.504E+03
7.852E-01 0.7945  0.5590 3.046E-22 3.481E+03
7.898E-01 0.7940  0.5575 3.019E-22 3.458E+03
7.943E-01 0.7935  0.5559 2.991E-22 3.435E+03
7.989E-01 0.7929  0.5544 2.964E-22 3.413E+03
8.035E-01 0.7924  0.5528 2.936E-22 3.390E+03
8.082E-01 0.7918  0.5512 2.909E-22 3.368E+03
8.128E-01 0.7912  0.5497 2.882E-22 3.346E+03
8.175E-01 0.7907  0.5481 2.855E-22 3.324E+03
8.222E-01 0.7901  0.5465 2.829E-22 3.302E+03
8.270E-01 0.7895  0.5449 2.802E-22 3.281E+03
8.318E-01 0.7888  0.5434 2.776E-22 3.260E+03
8.366E-01 0.7882  0.5418 2.750E-22 3.239E+03
8.414E-01 0.7875  0.5402 2.724E-22 3.218E+03
8.463E-01 0.7869  0.5386 2.698E-22 3.198E+03
8.511E-01 0.7862  0.5371 2.673E-22 3.178E+03
8.561E-01 0.7855  0.5355 2.647E-22 3.158E+03
8.610E-01 0.7847  0.5339 2.622E-22 3.139E+03
8.660E-01 0.7840  0.5323 2.597E-22 3.119E+03
8.710E-01 0.7833  0.5308 2.572E-22 3.099E+03
8.760E-01 0.7825  0.5292 2.547E-22 3.080E+03
8.810E-01 0.7818  0.5276 2.522E-22 3.060E+03
8.861E-01 0.7810  0.5261 2.497E-22 3.041E+03
8.913E-01 0.7802  0.5245 2.473E-22 3.022E+03
8.964E-01 0.7794  0.5230 2.448E-22 3.003E+03
9.016E-01 0.7786  0.5214 2.424E-22 2.984E+03
9.068E-01 0.7778  0.5199 2.400E-22 2.965E+03
9.120E-01 0.7770  0.5183 2.376E-22 2.947E+03
9.173E-01 0.7762  0.5168 2.353E-22 2.929E+03
9.226E-01 0.7753  0.5152 2.330E-22 2.910E+03
9.279E-01 0.7744  0.5137 2.306E-22 2.893E+03
9.333E-01 0.7736  0.5122 2.283E-22 2.875E+03
9.386E-01 0.7726  0.5106 2.261E-22 2.858E+03
9.441E-01 0.7717  0.5091 2.238E-22 2.841E+03
9.495E-01 0.7708  0.5075 2.215E-22 2.824E+03
9.550E-01 0.7698  0.5059 2.193E-22 2.807E+03
9.605E-01 0.7688  0.5044 2.171E-22 2.790E+03
9.661E-01 0.7678  0.5028 2.148E-22 2.773E+03
9.716E-01 0.7669  0.5012 2.126E-22 2.756E+03
9.772E-01 0.7659  0.4996 2.104E-22 2.739E+03
9.829E-01 0.7649  0.4979 2.082E-22 2.722E+03
9.886E-01 0.7638  0.4963 2.060E-22 2.705E+03
9.943E-01 0.7628  0.4947 2.038E-22 2.688E+03
1.000E+00 0.7618  0.4930 2.016E-22 2.671E+03
1.006E+00 0.7607  0.4913 1.994E-22 2.654E+03
1.012E+00 0.7596  0.4896 1.973E-22 2.637E+03
1.017E+00 0.7586  0.4879 1.952E-22 2.620E+03
1.023E+00 0.7575  0.4862 1.931E-22 2.604E+03
1.029E+00 0.7564  0.4845 1.910E-22 2.588E+03
1.035E+00 0.7552  0.4827 1.890E-22 2.572E+03
1.041E+00 0.7541  0.4809 1.869E-22 2.556E+03
1.047E+00 0.7529  0.4791 1.849E-22 2.541E+03
1.053E+00 0.7517  0.4772 1.829E-22 2.526E+03
1.059E+00 0.7505  0.4753 1.809E-22 2.510E+03
1.065E+00 0.7492  0.4734 1.789E-22 2.495E+03
1.072E+00 0.7480  0.4714 1.769E-22 2.479E+03
1.078E+00 0.7468  0.4694 1.749E-22 2.463E+03
1.084E+00 0.7455  0.4674 1.730E-22 2.448E+03
1.090E+00 0.7443  0.4653 1.710E-22 2.432E+03
1.096E+00 0.7430  0.4632 1.691E-22 2.416E+03
1.103E+00 0.7417  0.4611 1.671E-22 2.400E+03
1.109E+00 0.7405  0.4590 1.652E-22 2.385E+03
1.116E+00 0.7392  0.4569 1.633E-22 2.369E+03
